Left Ear Start (Hz),Left Ear End (Hz),Right Ear Start (Hz),Right Ear End (Hz)
1461.4035087719299,1547.3684210526317,1031.578947368421,1117.5438596491229
1977.1929824561403,3438.59649122807,1375.438596491228,1633.3333333333333
9971.929824561403,10659.649122807017,1805.2631578947369,3352.6315789473683
20029.824561403508,20459.64912280702,5157.894736842105,5587.719298245614
20588.59649122807,20674.56140350877,9885.964912280702,11089.473684210527
20760.526315789473,20846.491228070176,,
20932.456140350878,21018.42105263158,,
21104.38596491228,21190.35087719298,,
21276.315789473683,21362.280701754386,,
21448.245614035088,21534.21052631579,,
21620.175438596492,21706.140350877195,,
21792.105263157893,21878.070175438595,,
21964.035087719298,22050.0,,
