Index,Left Ear Start (Hz),Left Ear End (Hz),Right Ear Start (Hz),Right Ear End (Hz)
1,1447.1347640137626,1557.5084239073744,1026.7798612841339,1136.1379503013047
2,1908.7610306104123,3446.260065697923,1328.0606080085722,1712.2115447235028
3,9887.903224161912,10745.765108567668,1738.6023609069407,3428.1803833645868
4,20029.824561403508,20534.97443602147,5156.297405304499,5628.279250716457
5,20565.217816821947,20662.580051216002,9850.547537232864,11169.537169413095
6,20771.150398904574,20849.06680753846,,
7,20928.19455404408,21022.112002608148,,
8,21097.495984796504,21195.354791126254,,
9,21279.418032506543,21356.43829223108,,
10,21447.57486806792,21528.798524934467,,
11,21631.615416702774,21693.18369772599,,
12,21822.54790288634,21845.111105095548,,
13,21975.290647764465,22007.01754385965,,
