Left Ear Start (Hz),Left Ear End (Hz),Right Ear Start (Hz),Right Ear End (Hz)
1461.4035087719299,1547.3684210526317,1031.578947368421,1117.5438596491229
1977.1929824561403,3438.59649122807,1375.438596491228,1633.3333333333333
9971.929824561403,10659.649122807017,1805.2631578947369,3352.6315789473683
20029.824561403508,20459.64912280702,5157.894736842105,5587.719298245614
20631.57894736842,20631.57894736842,9885.964912280702,11089.473684210527
20803.508771929824,20803.508771929824,,
20975.43859649123,20975.43859649123,,
21147.36842105263,21147.36842105263,,
21319.298245614034,21319.298245614034,,
21491.22807017544,21491.22807017544,,
21663.157894736843,21663.157894736843,,
21835.087719298244,21835.087719298244,,
22007.01754385965,22007.01754385965,,
